date,country,state,city,ibgeID,newCases,totalCases,last_update
2020-03-19,Brazil,SC,Joinville/SC,4209102,1,2,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MS,Campo Grande/MS,5002704,1,8,2020-03-26 15:52:09.506563
2020-03-19,Brazil,ES,Vitória/ES,3205309,2,5,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,Carapicuíba/SP,3510609,1,2,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SC,Braço do Norte/SC,4202800,2,4,2020-03-26 15:52:09.506563
2020-03-19,Brazil,CE,Fortaleza/CE,2304400,4,22,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MG,Belo Horizonte/MG,3106200,8,18,2020-03-26 15:52:09.506563
2020-03-19,Brazil,AC,Rio Branco/AC,1200401,1,4,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MG,Nova Lima/MG,3144805,1,2,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PR,Cianorte/PR,4105508,0,2,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PR,Campo Largo/PR,4104204,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MG,Ipatinga/MG,3131307,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,São José do Rio Preto/SP,3549805,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,GO,Jataí/GO,5211909,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,GO,Aparecida de Goiânia/GO,5201405,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PR,Maringá/PR,4115200,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PR,Foz do Iguaçu/PR,4108304,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PA,Belém/PA,1501402,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SE,Propriá/SE,2805703,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,GO,Rio Verde/GO,5218805,0,3,2020-03-26 15:52:09.506563
2020-03-19,Brazil,RJ,Guapimirim/RJ,3301850,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,Jaguariúna/SP,3524709,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,Campinas/SP,3509502,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MT,Rondonópolis/MT,5107602,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,Guarulhos/SP,3518800,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,Barueri/SP,3505708,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MG,Uberaba/MG,3170107,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SC,Tubarão/SC,4218707,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SC,ESTRANGEIRO/SC,42,0,2,2020-03-26 15:52:09.506563
2020-03-19,Brazil,CE,Sobral/CE,2312908,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,RS,Torres/RS,4321501,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,RS,Farroupilha/RS,4307906,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,TOTAL,TOTAL,4307906,159,695,2020-03-26 15:52:09.506563
2020-03-19,Brazil,TO,Palmas/TO,1721000,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PB,João Pessoa/PB,2507507,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PR,Londrina/PR,4113700,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MG,Coronel Fabriciano/MG,3119401,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,RN,Natal/RN,2408102,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PR,Pinhais/PR,4119152,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PE,ESTRANGEIRO/PE,26,0,3,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MG,Juiz de Fora/MG,3136702,0,2,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MG,Patrocínio/MG,3148103,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SE,Aracaju/SE,2800308,0,5,2020-03-26 15:52:09.506563
2020-03-19,Brazil,ES,Linhares/ES,3203205,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,São Bernardo do Campo/SP,3548708,0,3,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,São Caetano do Sul/SP,3548807,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SC,Rancho Queimado/SC,4214300,0,2,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,Mauá/SP,3529401,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,BA,Prado/BA,2925501,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,CE,Aquiraz/CE,2301000,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MG,Sete Lagoas/MG,3167202,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,SP,Santo André/SP,3547809,0,2,2020-03-26 15:52:09.506563
2020-03-19,Brazil,MG,Uberlândia/MG,3170206,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PE,Jaboatão dos Guararapes/PE,2607901,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,PE,Belo Jardim/PE,2601706,0,1,2020-03-26 15:52:09.506563
2020-03-19,Brazil,BA,Porto Seguro/BA,2925303,0,4,2020-03-26 15:52:09.506563
2020-03-19,Brazil,GO,Anápolis/GO,5201108,0,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,São José do Rio Preto/SP,3549805,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SC,Balneário Camboriú/SC,4202008,2,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PR,Maringá/PR,4115200,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PR,Foz do Iguaçu/PR,4108304,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PA,Belém/PA,1501402,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SE,Propriá/SE,2805703,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PB,João Pessoa/PB,2507507,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RJ,Guapimirim/RJ,3301850,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Jaguariúna/SP,3524709,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SC,Tubarão/SC,4218707,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,GO,Jataí/GO,5211909,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Barueri/SP,3505708,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Cotia/SP,3513009,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Uberaba/MG,3170107,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SC,ESTRANGEIRO/SC,42,2,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,CE,Sobral/CE,2312908,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RS,Serafina Corrêa/RS,4320404,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RS,Torres/RS,4321501,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,GO,Aparecida de Goiânia/GO,5201405,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Campinas/SP,3509502,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,TO,Palmas/TO,1721000,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Santo André/SP,3547809,1,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,São Paulo/SP,3550308,72,228,2020-03-26 15:52:09.506563
2020-03-18,Brazil,ES,Vila Velha/ES,3205200,1,7,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RJ,Rio de Janeiro/RJ,3304557,23,55,2020-03-26 15:52:09.506563
2020-03-18,Brazil,DF,Brasília/DF,5300108,10,36,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RS,Campo Bom/RS,4303905,1,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RS,Porto Alegre/RS,4314902,5,21,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PE,Recife/PE,2611606,3,17,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SC,Florianópolis/SC,4205407,2,5,2020-03-26 15:52:09.506563
2020-03-18,Brazil,BA,Salvador/BA,2927408,10,17,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MS,Campo Grande/MS,5002704,1,7,2020-03-26 15:52:09.506563
2020-03-18,Brazil,ES,Vitória/ES,3205309,2,3,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SC,Braço do Norte/SC,4202800,1,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,São Bernardo do Campo/SP,3548708,1,3,2020-03-26 15:52:09.506563
2020-03-18,Brazil,CE,Fortaleza/CE,2304400,8,18,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Belo Horizonte/MG,3106200,5,10,2020-03-26 15:52:09.506563
2020-03-18,Brazil,BA,Porto Seguro/BA,2925303,1,4,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RS,Farroupilha/RS,4307906,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Guarulhos/SP,3518800,1,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,BA,Feira de Santana/BA,2910800,0,5,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SE,Aracaju/SE,2800308,0,5,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Carapicuíba/SP,3510609,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,São Caetano do Sul/SP,3548807,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Coronel Fabriciano/MG,3119401,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Mauá/SP,3529401,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,CE,Aquiraz/CE,2301000,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,GO,Anápolis/GO,5201108,0,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PE,Belo Jardim/PE,2601706,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PE,Jaboatão dos Guararapes/PE,2607901,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,BA,Prado/BA,2925501,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,AC,Rio Branco/AC,1200401,0,3,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Nova Lima/MG,3144805,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Uberlândia/MG,3170206,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PR,Campo Largo/PR,4104204,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PR,Pinhais/PR,4119152,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PR,Londrina/PR,4113700,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MT,Rondonópolis/MT,5107602,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,TOTAL,TOTAL,5107602,172,536,2020-03-26 15:52:09.506563
2020-03-18,Brazil,ES,Linhares/ES,3203205,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Sete Lagoas/MG,3167202,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Patrocínio/MG,3148103,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Juiz de Fora/MG,3136702,0,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RJ,Niterói/RJ,3303302,0,6,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PR,Curitiba/PR,4106902,0,7,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PR,Cianorte/PR,4105508,0,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RS,Caxias do Sul/RS,4305108,0,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,MG,Ipatinga/MG,3131307,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,GO,Goiânia/GO,5208707,0,5,2020-03-26 15:52:09.506563
2020-03-18,Brazil,RN,Natal/RN,2408102,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,AM,Manaus/AM,1302603,0,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SC,Joinville/SC,4209102,0,1,2020-03-26 15:52:09.506563
2020-03-18,Brazil,SC,Rancho Queimado/SC,4214300,0,2,2020-03-26 15:52:09.506563
2020-03-18,Brazil,GO,Rio Verde/GO,5218805,0,3,2020-03-26 15:52:09.506563
2020-03-18,Brazil,PE,ESTRANGEIRO/PE,26,0,3,2020-03-26 15:52:09.506563
2020-03-17,Brazil,PR,Pinhais/PR,4119152,1,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SP,Santo André/SP,3547809,1,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MG,Nova Lima/MG,3144805,1,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MG,Sete Lagoas/MG,3167202,1,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MG,Uberlândia/MG,3170206,1,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,PR,Campo Largo/PR,4104204,1,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,PR,Londrina/PR,4113700,1,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MT,Rondonópolis/MT,5107602,1,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,ES,Vila Velha/ES,3205200,0,6,2020-03-26 15:52:09.506563
2020-03-17,Brazil,BA,Porto Seguro/BA,2925303,2,3,2020-03-26 15:52:09.506563
2020-03-17,Brazil,BA,Feira de Santana/BA,2910800,0,5,2020-03-26 15:52:09.506563
2020-03-17,Brazil,BA,Prado/BA,2925501,1,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,RS,Porto Alegre/RS,4314902,8,16,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MG,Belo Horizonte/MG,3106200,4,5,2020-03-26 15:52:09.506563
2020-03-17,Brazil,CE,Fortaleza/CE,2304400,2,10,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MS,Campo Grande/MS,5002704,2,6,2020-03-26 15:52:09.506563
2020-03-17,Brazil,AM,Manaus/AM,1302603,1,2,2020-03-26 15:52:09.506563
2020-03-17,Brazil,BA,Salvador/BA,2927408,3,7,2020-03-26 15:52:09.506563
2020-03-17,Brazil,GO,Rio Verde/GO,5218805,1,3,2020-03-26 15:52:09.506563
2020-03-17,Brazil,PR,Cianorte/PR,4105508,1,2,2020-03-26 15:52:09.506563
2020-03-17,Brazil,PE,Recife/PE,2611606,1,14,2020-03-26 15:52:09.506563
2020-03-17,Brazil,RJ,Niterói/RJ,3303302,5,6,2020-03-26 15:52:09.506563
2020-03-17,Brazil,DF,Brasília/DF,5300108,7,26,2020-03-26 15:52:09.506563
2020-03-17,Brazil,RJ,Rio de Janeiro/RJ,3304557,3,32,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SP,São Paulo/SP,3550308,11,156,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,AC,Rio Branco/AC,1200401,3,3,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SE,Aracaju/SE,2800308,0,5,2020-03-26 15:52:09.506563
2020-03-17,Brazil,RS,Campo Bom/RS,4303905,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,TOTAL,TOTAL,2607901,63,364,2020-03-26 15:52:09.506563
2020-03-17,Brazil,PE,Jaboatão dos Guararapes/PE,2607901,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,GO,Anápolis/GO,5201108,0,2,2020-03-26 15:52:09.506563
2020-03-17,Brazil,CE,Aquiraz/CE,2301000,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SP,Mauá/SP,3529401,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MG,Coronel Fabriciano/MG,3119401,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SP,São Caetano do Sul/SP,3548807,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SP,São Bernardo do Campo/SP,3548708,0,2,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SC,Braço do Norte/SC,4202800,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SP,Carapicuíba/SP,3510609,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,ES,Vitória/ES,3205309,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,ES,Linhares/ES,3203205,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,PE,Belo Jardim/PE,2601706,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MG,Patrocínio/MG,3148103,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,GO,Goiânia/GO,5208707,0,5,2020-03-26 15:52:09.506563
2020-03-17,Brazil,RS,Caxias do Sul/RS,4305108,0,2,2020-03-26 15:52:09.506563
2020-03-17,Brazil,PR,Curitiba/PR,4106902,0,7,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SC,Florianópolis/SC,4205407,0,3,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MG,Ipatinga/MG,3131307,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,RN,Natal/RN,2408102,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SC,Joinville/SC,4209102,0,1,2020-03-26 15:52:09.506563
2020-03-17,Brazil,SC,Rancho Queimado/SC,4214300,0,2,2020-03-26 15:52:09.506563
2020-03-17,Brazil,PE,ESTRANGEIRO/PE,26,0,3,2020-03-26 15:52:09.506563
2020-03-17,Brazil,MG,Juiz de Fora/MG,3136702,0,2,2020-03-26 15:52:09.506563
2020-03-16,Brazil,GO,Anápolis/GO,5201108,2,2,2020-03-26 15:52:09.506563
2020-03-16,Brazil,PE,ESTRANGEIRO/PE,26,2,3,2020-03-26 15:52:09.506563
2020-03-16,Brazil,MG,Belo Horizonte/MG,3106200,1,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,CE,Aquiraz/CE,2301000,1,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SP,Mauá/SP,3529401,1,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,MG,Coronel Fabriciano/MG,3119401,1,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,CE,Fortaleza/CE,2304400,5,8,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SP,São Bernardo do Campo/SP,3548708,1,2,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SE,Aracaju/SE,2800308,4,5,2020-03-26 15:52:09.506563
2020-03-16,Brazil,MG,Juiz de Fora/MG,3136702,1,2,2020-03-26 15:52:09.506563
2020-03-16,Brazil,MS,Campo Grande/MS,5002704,2,4,2020-03-26 15:52:09.506563
2020-03-16,Brazil,RS,Caxias do Sul/RS,4305108,1,2,2020-03-26 15:52:09.506563
2020-03-16,Brazil,GO,Goiânia/GO,5208707,2,5,2020-03-26 15:52:09.506563
2020-03-16,Brazil,GO,Rio Verde/GO,5218805,1,2,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SC,Florianópolis/SC,4205407,1,3,2020-03-26 15:52:09.506563
2020-03-16,Brazil,PR,Curitiba/PR,4106902,2,7,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SP,São Paulo/SP,3550308,14,145,2020-03-26 15:52:09.506563
2020-03-16,Brazil,PE,Recife/PE,2611606,6,13,2020-03-26 15:52:09.506563
2020-03-16,Brazil,RS,Porto Alegre/RS,4314902,3,8,2020-03-26 15:52:09.506563
2020-03-16,Brazil,DF,Brasília/DF,5300108,5,19,2020-03-26 15:52:09.506563
2020-03-16,Brazil,RJ,Rio de Janeiro/RJ,3304557,7,29,2020-03-26 15:52:09.506563
2020-03-16,Brazil,ES,Vila Velha/ES,3205200,4,6,2020-03-26 15:52:09.506563
2020-03-16,Brazil,PE,Belo Jardim/PE,2601706,1,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,BA,Porto Seguro/BA,2925303,1,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,PE,Jaboatão dos Guararapes/PE,2607901,1,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,AM,Manaus/AM,1302603,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,TOTAL,TOTAL,3548807,70,301,2020-03-26 15:52:09.506563
2020-03-16,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SC,Braço do Norte/SC,4202800,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SP,Carapicuíba/SP,3510609,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,ES,Vitória/ES,3205309,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,ES,Linhares/ES,3203205,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,MG,Patrocínio/MG,3148103,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SC,Rancho Queimado/SC,4214300,0,2,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SC,Joinville/SC,4209102,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SP,São Caetano do Sul/SP,3548807,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,BA,Salvador/BA,2927408,0,4,2020-03-26 15:52:09.506563
2020-03-16,Brazil,RJ,Niterói/RJ,3303302,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,RN,Natal/RN,2408102,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,BA,Feira de Santana/BA,2910800,0,5,2020-03-26 15:52:09.506563
2020-03-16,Brazil,RS,Campo Bom/RS,4303905,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,PR,Cianorte/PR,4105508,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1,2020-03-26 15:52:09.506563
2020-03-16,Brazil,MG,Ipatinga/MG,3131307,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,RS,Porto Alegre/RS,4314902,0,5,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SP,São Paulo/SP,3550308,69,131,2020-03-26 15:52:09.506563
2020-03-15,Brazil,RJ,Niterói/RJ,3303302,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,MG,Divinópolis/MG,3122306,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,AL,Maceió/AL,2704302,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,22,2020-03-26 15:52:09.506563
2020-03-15,Brazil,ES,Vila Velha/ES,3205200,0,2,2020-03-26 15:52:09.506563
2020-03-15,Brazil,BA,Salvador/BA,2927408,1,4,2020-03-26 15:52:09.506563
2020-03-15,Brazil,CE,Fortaleza/CE,2304400,3,3,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SP,São Caetano do Sul/SP,3548807,1,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SP,São Bernardo do Campo/SP,3548708,1,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SC,Braço do Norte/SC,4202800,1,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,PE,Recife/PE,2611606,1,7,2020-03-26 15:52:09.506563
2020-03-15,Brazil,DF,Brasília/DF,5300108,6,14,2020-03-26 15:52:09.506563
2020-03-15,Brazil,BA,Feira de Santana/BA,2910800,1,5,2020-03-26 15:52:09.506563
2020-03-15,Brazil,PR,Curitiba/PR,4106902,0,5,2020-03-26 15:52:09.506563
2020-03-15,Brazil,RS,Caxias do Sul/RS,4305108,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,RS,Campo Bom/RS,4303905,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,PR,Cianorte/PR,4105508,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,PE,ESTRANGEIRO/PE,26,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SP,Carapicuíba/SP,3510609,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,ES,Vitória/ES,3205309,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,ES,Linhares/ES,3203205,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SE,Aracaju/SE,2800308,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,MG,Patrocínio/MG,3148103,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,MG,Juiz de Fora/MG,3136702,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,MS,Campo Grande/MS,5002704,0,2,2020-03-26 15:52:09.506563
2020-03-15,Brazil,TOTAL,TOTAL,3510609,84,231,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SC,Rancho Queimado/SC,4214300,0,2,2020-03-26 15:52:09.506563
2020-03-15,Brazil,AM,Manaus/AM,1302603,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,RN,Natal/RN,2408102,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,GO,Goiânia/GO,5208707,0,3,2020-03-26 15:52:09.506563
2020-03-15,Brazil,GO,Rio Verde/GO,5218805,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,MG,Ipatinga/MG,3131307,0,1,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SC,Florianópolis/SC,4205407,0,2,2020-03-26 15:52:09.506563
2020-03-15,Brazil,SC,Joinville/SC,4209102,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,MS,Campo Grande/MS,5002704,2,2,2020-03-26 15:52:09.506563
2020-03-14,Brazil,RJ,Barra Mansa/RJ,3300407,0,1,2020-03-26 15:52:09.506563
2020-03-14,Brazil,SP,São Paulo/SP,3550308,0,62,2020-03-26 15:52:09.506563
